epoch,elapsed_s,train_total_loss,train_box_loss,train_iou_loss,train_conf_loss,train_cls_loss,train_dfl_loss,train_l1_loss,val_box_loss,val_cls_loss,val_dfl_loss,precision,recall,map50,map50_95,lr,train_peak_allocated_mib,train_peak_reserved_mib,gpu_peak_allocated_mib,gpu_peak_reserved_mib
80,8089.775251865387,,0.14960598945617676,,,0.12805971503257751,0.8997017741203308,,0.0904,0.08097,0.83457,1.0,1.0,0.995,0.995,0.002179,3999.23193359375,4056.0,3999.23193359375,4056.0
81,8190.602516889572,,0.14863207936286926,,,0.1316617727279663,0.8983146548271179,,0.0932,0.08142,0.84164,1.0,1.0,0.995,0.99326,0.00208,3999.23193359375,4056.0,3999.23193359375,4056.0
82,8291.154017686844,,0.1428130567073822,,,0.12505917251110077,0.8967834115028381,,0.09292,0.07721,0.8391,0.99973,1.0,0.995,0.99358,0.0019809999999999993,3999.23193359375,4056.0,3999.23193359375,4056.0
83,8392.119011163712,,0.14059829711914062,,,0.12262409925460815,0.9041545391082764,,0.08499,0.07934,0.83542,1.0,1.0,0.995,0.99485,0.0018820000000000006,3999.23193359375,4056.0,3999.23193359375,4056.0
84,8492.61775135994,,0.13729719817638397,,,0.12180669605731964,0.8947868347167969,,0.08699,0.07439,0.83793,1.0,1.0,0.995,0.99493,0.0017830000000000005,3999.23193359375,4056.0,3999.23193359375,4056.0
85,8593.025357961655,,0.13879920542240143,,,0.12286917120218277,0.8927901983261108,,0.09596,0.08574,0.84177,1.0,1.0,0.995,0.99484,0.0016840000000000006,3999.23193359375,4056.0,3999.23193359375,4056.0
86,8693.342360019684,,0.13713474571704865,,,0.1217283084988594,0.8949021697044373,,0.08333,0.07411,0.83623,1.0,1.0,0.995,0.99492,0.0015850000000000003,3999.23193359375,4056.0,3999.23193359375,4056.0
87,8793.416230678558,,0.1343262940645218,,,0.11702591180801392,0.8920988440513611,,0.0844,0.07897,0.83503,0.99973,1.0,0.995,0.99392,0.0014860000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
88,8893.893117666245,,0.1305968463420868,,,0.11758070439100266,0.8876968026161194,,0.09521,0.08473,0.84212,0.99973,1.0,0.995,0.99494,0.0013870000000000002,3999.23193359375,4056.0,3999.23193359375,4056.0
89,8994.042749404907,,0.12826626002788544,,,0.11391763389110565,0.88763028383255,,0.07585,0.06636,0.83449,0.99973,1.0,0.995,0.99495,0.001288,3999.23193359375,4056.0,3999.23193359375,4056.0
90,9094.31647157669,,0.12506769597530365,,,0.11364809423685074,0.8880259394645691,,0.07742,0.06874,0.83268,0.99973,1.0,0.995,0.99485,0.0011889999999999997,3999.23193359375,4056.0,3999.23193359375,4056.0
91,9191.449851751328,,0.08067135512828827,,,0.0802118107676506,0.8335821032524109,,0.07782,0.07344,0.8367,0.99973,1.0,0.995,0.99491,0.0010899999999999998,3999.23193359375,4056.0,3999.23193359375,4056.0
92,9288.731470823288,,0.07557277381420135,,,0.07453001290559769,0.8308933973312378,,0.10188,0.07469,0.85256,1.0,1.0,0.995,0.99354,0.0009909999999999997,3999.23193359375,4056.0,3999.23193359375,4056.0
93,9385.788438081741,,0.07213953882455826,,,0.07104716449975967,0.8239551186561584,,0.07548,0.07376,0.83233,0.99974,1.0,0.995,0.99474,0.0008919999999999996,3999.23193359375,4056.0,3999.23193359375,4056.0
94,9483.148146629333,,0.07141797244548798,,,0.07203734666109085,0.8272405862808228,,0.0781,0.07235,0.83256,1.0,1.0,0.995,0.995,0.0007929999999999994,3999.23193359375,4056.0,3999.23193359375,4056.0
95,9580.245679855347,,0.06839122623205185,,,0.06974165141582489,0.819475531578064,,0.07949,0.06871,0.83544,1.0,1.0,0.995,0.9936,0.0006940000000000005,3999.23193359375,4056.0,3999.23193359375,4056.0
96,9675.021345615387,,0.06696739047765732,,,0.06667157262563705,0.8251832723617554,,0.07009,0.06309,0.83248,1.0,1.0,0.995,0.99376,0.0005950000000000005,3999.23193359375,4056.0,3999.23193359375,4056.0
97,9772.155175685883,,0.062873974442482,,,0.0640784278512001,0.8194408416748047,,0.06574,0.06248,0.82801,1.0,1.0,0.995,0.99478,0.0004960000000000005,3999.23193359375,4056.0,3999.23193359375,4056.0
98,9869.266831874847,,0.061800580471754074,,,0.06352060288190842,0.8183414340019226,,0.06574,0.05914,0.82954,1.0,1.0,0.995,0.9947,0.00039700000000000027,3999.23193359375,4056.0,3999.23193359375,4056.0
99,9966.531795740128,,0.060356505215168,,,0.06262658536434174,0.8199914693832397,,0.06478,0.06104,0.82725,1.0,1.0,0.995,0.995,0.0002980000000000002,3999.23193359375,4056.0,3999.23193359375,4056.0
100,10063.589973211288,,0.06008928641676903,,,0.06210726499557495,0.82539302110672,,0.06403,0.055,0.8273,1.0,1.0,0.995,0.995,0.0001990000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
